timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW
2024/5/1 0:00,125.5,36.24,474789,55,56.7,45.8,52.1,203,218,379,385,50,1808.4
2024/5/1 0:01,123.8,34.67,449604,57.7,57.7,47.4,45.8,206,237,389,406,49.7,1760.2
2024/5/1 0:02,126.1,36.65,462320,57.1,59.3,48.7,45.7,211,218,393,403,50,1791.2
2024/5/1 0:03,125.4,38.86,472731,59.9,57.3,50.5,46.8,213,201,397,390,50,1855.6
2024/5/1 0:04,124.5,34.48,465055,59.4,57,48.7,49.2,215,208,402,370,50,1851.4
2024/5/1 0:05,124,34.5,461733,57.6,56.8,48.3,49.2,205,204,399,401,49.75,1825.7
2024/5/1 0:06,124.8,39.05,452645,55.9,58.5,46.2,46.9,216,210,412,397,49.82,1764.9
2024/5/1 0:07,123.8,37.04,449404,60.1,57.7,49.8,50,216,223,391,391,50,1862.4
2024/5/1 0:08,125.2,33.97,466684,57.9,59.4,47.5,47.1,205,206,388,404,49.91,1838.5
2024/5/1 0:09,125.2,36.51,472638,54.8,58.8,45.2,49.7,189,203,373,396,49.82,1835.7
2024/5/1 0:10,125.5,34.02,457144,55,52.2,46.3,45.2,200,216,402,387,50,1705.5
2024/5/1 0:11,127.7,34.03,451607,58.9,54.5,49.4,46.1,229,200,398,402,49.96,1787
2024/5/1 0:12,124.9,35.81,441120,55.5,57.1,49.5,47.2,190,200,383,393,50,1840.9
2024/5/1 0:13,126.6,30.44,453005,61.8,60,42.7,47.9,226,215,393,401,50,1808.6
2024/5/1 0:14,125.5,30.93,460007,56.2,56.8,47.8,46.4,189,189,390,392,49.66,1844.8
2024/5/1 0:15,124.8,33.86,473775,58.1,58.8,45.4,46.3,201,204,392,397,50,1819.2
2024/5/1 0:16,125,32.75,466432,58.4,59.3,48.8,48.9,206,221,387,408,49.76,1849.5
2024/5/1 0:17,125.1,36.08,463553,56.6,59.2,49.2,49.7,232,188,392,407,50,1856
2024/5/1 0:18,125.6,33.04,457977,53.6,57,45.9,46.5,211,189,372,384,49.54,1781.7
2024/5/1 0:19,123.7,31.8,456578,58.5,55.8,48.1,45.4,208,193,385,401,50,1808.7
2024/5/1 0:20,123,39.01,472554,56.6,55.5,49.7,48.2,199,178,394,383,49.87,1861.3
2024/5/1 0:21,126.2,34.8,462980,58.3,64,50.1,49,217,233,382,400,50,1884.3
2024/5/1 0:22,126.5,35.55,444619,57.9,59,46.4,45.9,204,212,395,389,49.72,1808.5
2024/5/1 0:23,126.3,31.84,456117,58.6,61.8,50.2,51.4,208,202,415,372,50,1927.3
2024/5/1 0:24,125.4,34.06,454705,61.2,56.4,48.6,46.3,206,195,377,394,50,1864.5
2024/5/1 0:25,126.4,35.71,457265,57,60.6,47.1,47.5,219,237,368,403,49.79,1783.3
2024/5/1 0:26,126.3,32.58,466204,57.2,57.2,47.9,47.6,220,218,405,398,49.92,1784.3
2024/5/1 0:27,126.4,36.41,460907,54.8,58.1,49.7,46.4,200,209,416,380,50,1806.4
2024/5/1 0:28,124,33.99,461217,57.7,57.5,49.6,51.7,203,225,395,394,50,1842.2
2024/5/1 0:29,123.6,34.78,472405,58.9,56.4,49.9,46.2,202,215,391,389,49.66,1828.1
2024/5/1 0:30,124.7,34.02,456391,57.2,56.4,46.7,51.5,213,204,383,400,50,1821.2
2024/5/1 0:31,125.2,40.17,476941,59,58.1,48.5,47.5,221,203,397,403,49.7,1814.7
2024/5/1 0:32,124.9,35.52,456722,57.8,57,47.6,47.5,213,203,390,375,50,1813.5
2024/5/1 0:33,122.5,32.93,462872,55.5,58.4,48.5,46.8,184,198,401,392,49.7,1851.9
2024/5/1 0:34,127.9,37.65,459974,58.8,56.5,47.1,49.4,220,224,370,380,49.87,1816.3
2024/5/1 0:35,124.9,32.56,463276,57.7,59.6,51.3,52,194,204,395,393,49.99,1929.6
2024/5/1 0:36,125.6,36.15,465911,58.4,57.2,48,46.9,202,227,381,374,50,1815.5
2024/5/1 0:37,127.2,30.75,465890,57,61.4,47.8,47.5,213,201,402,390,50,1859.1
2024/5/1 0:38,121.8,32.34,456460,56.9,58.1,49,51,210,203,377,394,50,1863.7
2024/5/1 0:39,124.6,36.17,453566,58.5,58,50.3,45.8,221,205,398,363,49.82,1830
2024/5/1 0:40,124.8,37.54,482640,57.7,61.4,48.2,46.5,203,200,384,387,50,1873.2
2024/5/1 0:41,124.9,36.14,458808,61.6,57.2,47.5,50.8,199,204,385,373,49.3,1905.2
2024/5/1 0:42,125.1,35.44,468339,59.8,57.4,49.9,48.9,207,217,401,401,50,1847.7
2024/5/1 0:43,127.5,35,449949,59.3,56.8,51.6,46.4,222,225,381,367,50,1826.6
2024/5/1 0:44,126.4,32.07,460639,57.8,58.6,50.9,49.3,218,214,373,387,50,1851.1
2024/5/1 0:45,126.8,33.99,461923,54.1,56.7,46.1,45,212,196,392,407,49.71,1741.6
2024/5/1 0:46,125.5,34.65,466788,56.6,59.8,49.6,50.3,227,203,383,378,49.97,1866.5
2024/5/1 0:47,123.3,38.46,441291,56.9,58.1,48,44.2,224,204,374,382,49.63,1779.6
2024/5/1 0:48,122.3,36.7,464465,57.7,59.9,50.7,46.1,220,231,395,390,49.69,1818
2024/5/1 0:49,123.1,31.45,454003,58.1,59.7,51.8,48.9,197,223,394,391,49.21,1887.2
2024/5/1 0:50,126,36.68,465861,59.5,57.2,43.4,45.6,220,225,392,363,50,1759.7
2024/5/1 0:51,125.5,34.93,455041,58.8,56.7,48.1,48.1,208,202,397,388,49.78,1831.3
2024/5/1 0:52,125.1,34.21,456553,60.5,57.6,47.2,49.2,206,195,367,399,50,1873.2
2024/5/1 0:53,124.9,37.45,461272,57.6,58.2,46.7,46.6,203,218,382,417,50,1798.3
2024/5/1 0:54,128.5,38.52,455108,58.7,58.9,46.3,47.9,209,205,394,382,50,1831.5
2024/5/1 0:55,124.2,38.29,459787,58.9,59.1,47.2,49.8,203,214,403,387,50,1842.5
2024/5/1 0:56,126.9,33.88,454109,58.7,58.2,47.5,49,213,216,394,396,50,1831
2024/5/1 0:57,125.5,35.22,449056,60.8,56.9,47.4,51.2,209,206,405,381,50,1879.3
2024/5/1 0:58,125.4,36.84,471930,59.9,57.1,44.1,46.4,213,223,383,409,49.79,1774.9
2024/5/1 0:59,127.3,38.47,453483,55.6,59.3,48.4,46.1,217,193,384,391,49.7,1821.4
2024/5/1 1:00,127.7,34.85,462487,58,57,50.2,50.8,207,212,387,394,49.53,1857.9
2024/5/1 1:01,125.2,35.6,470004,58.2,59.4,47,48.9,202,219,390,397,50,1841.2
2024/5/1 1:02,126.7,33.31,459126,62.6,59.5,44.9,47.6,187,231,370,371,50,1888.9
2024/5/1 1:03,126.1,33.11,457509,57.6,61.3,48.3,47,220,213,391,394,49.25,1832
2024/5/1 1:04,125.6,38.15,465986,56.3,57.3,50.3,49.8,212,226,391,384,49.96,1818.5
2024/5/1 1:05,125.9,39.52,473184,59.2,57.6,48.5,47.4,209,225,384,381,50,1816.4
2024/5/1 1:06,124.5,35.97,454951,59.3,53.7,46.7,49.7,225,239,382,397,50,1752.4
2024/5/1 1:07,125.1,38.68,463169,58.1,56.4,46,50.7,196,215,394,405,50,1826.3
2024/5/1 1:08,124.7,37.09,450575,57.9,56.4,49.6,48.4,212,236,398,391,50,1796.6
2024/5/1 1:09,127,34.59,461354,60.2,59.3,47.7,45.4,199,221,393,410,50,1838.5
