RappingParam,Group,Mean_RappingPeriod_s,SampleCount,PeakRate
T1_s,1,198.814049586777,1936,0
T1_s,2,219.408674698795,2075,0
T1_s,3,232.103540772532,1864,0
T1_s,4,242.955705344246,2077,0
T1_s,5,256.984111699567,2077,0
T2_s,1,198.644946126219,1949,0
T2_s,2,219.459337349398,1992,0
T2_s,3,232.129954841947,1993,0
T2_s,4,242.92599901332,2027,0
T2_s,5,257.272243713733,2068,0
T3_s,1,403.768470343392,1922,0
T3_s,2,430.437720625315,1983,0
T3_s,3,444.266961651917,2034,0
T3_s,4,454.407221664995,1994,0
T3_s,5,467.945610687023,2096,0
T4_s,1,403.817951318458,1972,0
T4_s,2,430.517493472585,1915,0
T4_s,3,444.272183449651,2006,0
T4_s,4,454.397549019608,2040,0
T4_s,5,468.087786259542,2096,0
