Feature,PartialR,PartialP,AbsPartialR
T1_s,-0.0141571160897058,0.156270215901575,0.0141571160897058
T_front,-0.0127765762363663,0.200733210781721,0.0127765762363663
T_mean,-0.0108325801009198,0.278019862040753,0.0108325801009198
U3_kV,-0.0105897247690476,0.288936607491863,0.0105897247690476
U_back,-0.00985125796337277,0.323886172067883,0.00985125796337277
T2_s,-0.00898934963643076,0.36802003155663,0.00898934963643076
T3_s,-0.0086217955133797,0.387928417982576,0.0086217955133797
U4_kV,-0.00749225072446076,0.453095070099191,0.00749225072446076
U_sqsum,-0.00652970982111103,0.51319223139609,0.00652970982111103
U_sum,-0.00647842602974939,0.516506715073922,0.00647842602974939
U_mean,-0.00647842602974939,0.516506715073922,0.00647842602974939
U2_kV,-0.00636017053390676,0.5241916648155,0.00636017053390676
T_diff_back_front,0.00631801333227623,0.526945390745147,0.00631801333227623
U_ratio_front_back,0.00619701127458992,0.53489009301109,0.00619701127458992
Q_Nm3h,-0.00511656346753639,0.608397159549381,0.00511656346753639
C_in_gNm3,-0.00469592936299186,0.638183004714491,0.00469592936299186
T_back,-0.00358940453200805,0.719269833545145,0.00358940453200805
DustLoad,-0.00357592774690931,0.720279500397052,0.00357592774690931
U1_kV,0.0022918292013187,0.818481772492589,0.0022918292013187
Temp_C,0.00225747332526428,0.821156457842081,0.00225747332526428
U_front,-0.00215281813145787,0.829316805562679,0.00215281813145787
T4_s,0.00199067531304263,0.841995806852236,0.00199067531304263
LoadPressure,0.00105783160226033,0.915639048294643,0.00105783160226033
