Feature,PearsonR,PearsonP,SpearmanR,SpearmanP,AbsPearsonR,AbsSpearmanR
T2_s,0.040144339272992,5.78605173081937e-05,0.0400956475731948,5.90716255618412e-05,0.040144339272992,0.0400956475731948
LoadPressure,-0.0369811667794464,0.000211991614684187,-0.0374760764241912,0.000174112312965511,0.0369811667794464,0.0374760764241912
DustLoad,-0.0345828155514577,0.000532410725823256,-0.0348518539355638,0.000481467321001257,0.0345828155514577,0.0348518539355638
C_in_gNm3,-0.0345710309625918,0.00053475305894331,-0.0349108805321442,0.000470916163672087,0.0345710309625918,0.0349108805321442
T_front,0.0334786119727194,0.000798731224740294,0.0330546924443571,0.000930460521390967,0.0334786119727194,0.0330546924443571
T_mean,0.0256740221098858,0.0101339298368806,0.0202067775033779,0.043015447670427,0.0256740221098858,0.0202067775033779
U3_kV,0.02500517177786,0.0122721805060376,0.0248504887380155,0.0128202561473253,0.02500517177786,0.0248504887380155
U_back,0.0246299909118986,0.0136389471125527,0.0261864925311617,0.00872702711992547,0.0246299909118986,0.0261864925311617
U_sum,0.0221599217072956,0.0264731957807924,0.021541350254837,0.0309871516092262,0.0221599217072956,0.021541350254837
U_mean,0.0221599217072956,0.0264731957807924,0.021541350254837,0.0309871516092262,0.0221599217072956,0.021541350254837
U_sqsum,0.0215706858836533,0.0307590372605293,0.020934939216314,0.0360382403426274,0.0215706858836533,0.020934939216314
T1_s,0.0210240144513368,0.0352549408475581,0.0191034548944813,0.055741705339693,0.0210240144513368,0.0191034548944813
U4_kV,0.0202881171546427,0.0421833058718485,0.0235573939817971,0.0183150706905502,0.0202881171546427,0.0235573939817971
T_diff_back_front,-0.0184282652368721,0.0649759793358326,-0.018402914948023,0.0653459025926084,0.0184282652368721,0.018402914948023
U1_kV,0.0143937329580686,0.149484737106984,0.0150017831362451,0.13303274639419,0.0143937329580686,0.0150017831362451
Temp_C,-0.0143622893549174,0.15037593887508,-0.0130542941470572,0.191140157403009,0.0143622893549174,0.0130542941470572
U_front,0.0143009152469063,0.152127117774899,0.0150669185561505,0.131356921455404,0.0143009152469063,0.0150669185561505
U2_kV,0.0127999165816281,0.199934209180018,0.0136068287123649,0.173025115327677,0.0127999165816281,0.0136068287123649
T3_s,0.0112681857736541,0.259173636419829,0.00129590569189225,0.896754556060582,0.0112681857736541,0.00129590569189225
U_ratio_front_back,-0.00948530752563629,0.342209774752666,-0.00474176120787747,0.634924787175115,0.00948530752563629,0.00474176120787747
T_back,0.00787944121839632,0.430112179397876,-0.00353002869466182,0.723735073558751,0.00787944121839632,0.00353002869466182
T4_s,0.00340744657306497,0.732955405138439,-0.00350593982843413,0.725543867312552,0.00340744657306497,0.00350593982843413
Q_Nm3h,0.00151979405175351,0.879044390096585,0.00154783725369014,0.876830169745525,0.00151979405175351,0.00154783725369014
