Feature,PartialR,PartialP,AbsPartialR
T2_s,0.0321957717297552,0.00126115221528353,0.0321957717297552
T_front,0.0244618268430513,0.0142940236923969,0.0244618268430513
U_sum,0.0243462637626436,0.0147601354714851,0.0243462637626436
U_mean,0.0243462637626436,0.0147601354714851,0.0243462637626436
U_sqsum,0.0240173727459831,0.0161607689698308,0.0240173727459831
U3_kV,0.0235802832394373,0.0182022045238291,0.0235802832394373
T_diff_back_front,-0.023311138190352,0.019568630081837,0.023311138190352
U_back,0.0230864789698676,0.0207769696317586,0.0230864789698676
DustLoad,-0.0193247586291956,0.0529638691600744,0.0193247586291956
U4_kV,0.0187957992903502,0.0598041175996817,0.0187957992903502
U_front,0.0187088334808982,0.0609959802982638,0.0187088334808982
U1_kV,0.0186724189540414,0.0615008503321835,0.0186724189540414
LoadPressure,-0.0182868238929277,0.0670622067880674,0.0182868238929277
U2_kV,0.0168225141018591,0.0920661353983826,0.0168225141018591
T1_s,0.0120206697570501,0.228704722424453,0.0120206697570501
T4_s,-0.011220196967629,0.261207902639568,0.011220196967629
Q_Nm3h,-0.0109032171124663,0.274921950206206,0.0109032171124663
T_mean,0.0104877067173101,0.293631569140267,0.0104877067173101
T_back,-0.00769742380176546,0.440841474740111,0.00769742380176546
U_ratio_front_back,-0.00440435774878263,0.659197717905428,0.00440435774878263
T3_s,-0.00285207328831852,0.775195564912377,0.00285207328831852
Temp_C,-0.00266695551451822,0.789431307530727,0.00266695551451822
C_in_gNm3,-0.000193614149634757,0.984532339429056,0.000193614149634757
