Feature,PearsonR,PearsonP,SpearmanR,SpearmanP,AbsPearsonR,AbsSpearmanR
T_front,0.0781950338882047,4.43899471410592e-15,0.0786069218151674,3.18844644381743e-15,0.0781950338882047,0.0786069218151674
T2_s,0.0777429542411867,6.37029139664182e-15,0.0793931573707997,1.68735440636493e-15,0.0777429542411867,0.0793931573707997
LoadPressure,-0.0737477814170909,1.41819982710613e-13,-0.0732638188052323,2.04293589986661e-13,0.0737477814170909,0.0732638188052323
DustLoad,-0.0683894542836189,7.08011675158477e-12,-0.0685026818730451,6.53796021395396e-12,0.0683894542836189,0.0685026818730451
U_back,0.0670704143124169,1.77418155585637e-11,0.0698304141127753,2.54442215712195e-12,0.0670704143124169,0.0698304141127753
C_in_gNm3,-0.0668533207029506,2.06033755210953e-11,-0.0664891935906191,2.64486604542823e-11,0.0668533207029506,0.0664891935906191
U3_kV,0.0660953843501504,3.45991183540344e-11,0.066633104706768,2.39664850123233e-11,0.0660953843501504,0.066633104706768
T1_s,0.0652021188977609,6.32701702836235e-11,0.0658152933040982,4.1843748509049e-11,0.0652021188977609,0.0658152933040982
T_mean,0.0647794974347786,8.39495135416454e-11,0.0577255286027252,7.25035167523744e-09,0.0647794974347786,0.0577255286027252
U4_kV,0.0572434380763628,9.65803226080216e-09,0.0593702236403428,2.67925579880203e-09,0.0572434380763628,0.0593702236403428
U_sum,0.0508525919826839,3.48209075123676e-07,0.0503022461072666,4.65347302147953e-07,0.0508525919826839,0.0503022461072666
U_mean,0.0508525919826839,3.48209075123676e-07,0.0503022461072666,4.65347302147953e-07,0.0508525919826839,0.0503022461072666
U_sqsum,0.0490471269100274,8.91617998227031e-07,0.0482911136264373,1.3093565025877e-06,0.0490471269100274,0.0482911136264373
T_diff_back_front,-0.0371165743349097,0.000200923027236821,-0.0377189143512751,0.000157946786080334,0.0371165743349097,0.0377189143512751
U_ratio_front_back,-0.0358029144247126,0.000335554981238082,-0.0307215152422285,0.00209133425935789,0.0358029144247126,0.0307215152422285
Temp_C,-0.0307971035820814,0.00203880989222415,-0.0304912504901856,0.00225908087855597,0.0307971035820814,0.0304912504901856
T3_s,0.0303489966923143,0.00236878100559304,0.0176571807335896,0.0770284874855059,0.0303489966923143,0.0176571807335896
T_back,0.0254896006205758,0.0106876201045861,0.00427200145768412,0.668820208992971,0.0254896006205758,0.00427200145768412
U_front,0.0248701227717673,0.01274950913905,0.0262465236752819,0.00857420537337632,0.0248701227717673,0.0262465236752819
U1_kV,0.0242821251619167,0.0150245691976953,0.0246869873629296,0.0134230147787457,0.0242821251619167,0.0246869873629296
U2_kV,0.0230075129286752,0.0212168770295152,0.0253899567766609,0.0109978381655758,0.0230075129286752,0.0253899567766609
T4_s,0.0170734714521613,0.0873153510501695,-3.63376896851057e-05,0.997096839177603,0.0170734714521613,3.63376896851057e-05
Q_Nm3h,-0.00488369208965769,0.624828396817635,-0.00416051952671571,0.676967600327053,0.00488369208965769,0.00416051952671571
