Feature,Importance
Cout_roll_mean30,24.6965854719789
Cout_roll_std30,8.68897592915566
K_roll_std30,5.76219214912928
K_roll_mean30,3.86906349489498
LoadPressure,2.53383586342117
C_in_gNm3,2.45387791956957
DustLoad,2.31891253328204
U_mean,2.21128076252782
Temp_C,2.10685897167188
K_lag5,1.91280270934268
T_mean,1.89550378980189
K_lag1,1.82461107232001
K_lag15,1.75393089816476
T2_s,1.73492126921528
dT1,1.56368180911774
T3_s,1.55247725974447
K_lag3,1.52191046145019
T_back,1.4830677889192
dT4,1.48141918094627
U_sum,1.44049179751682
Cout_lag3,1.38187455576879
U_sqsum,1.36978746725788
U1_kV,1.31319132588403
Q_Nm3h,1.29094866082403
U2_kV,1.27066652881213
U_back,1.23874341238397
T1_s,1.20614874394768
U_front,1.1674916956591
dT3,1.15309523552515
dU2,1.15083482829234
dU1,1.13295297816305
dT2,1.09000134287334
dU3,1.08446006208427
T4_s,1.07027271415638
U3_kV,1.06456248205675
Cout_lag30,1.06145985413788
K_lag10,1.01338051003352
T_diff_back_front,1.00565788343636
T_front,0.879637437735085
Cout_lag15,0.746442336043323
Cout_lag1,0.716446810318934
K_lag30,0.676520872893639
dU4,0.669732679862089
Cout_lag5,0.662923875702485
U_ratio_front_back,0.639341809063931
Cout_lag10,0.570285409943184
U4_kV,0.566737354970059
