iter	Passed	Remaining
0	115	231395
1	117	117585
2	120	80168
3	122	61008
4	124	49645
5	127	42372
6	129	36829
7	131	32703
8	133	29460
9	134	26843
10	136	24687
11	138	22962
12	140	21471
13	142	20193
14	144	19094
15	146	18112
16	147	17230
17	149	16457
18	151	15760
19	152	15135
20	154	14556
21	156	14043
22	158	13589
23	160	13183
24	162	12876
25	164	12503
26	166	12163
27	168	11851
28	170	11565
29	172	11304
30	173	11042
31	175	10812
32	177	10592
33	179	10377
34	181	10171
35	182	9978
36	184	9811
37	186	9647
38	188	9493
39	190	9339
40	192	9195
41	194	9072
42	196	8950
43	198	8840
44	200	8731
45	203	8627
46	205	8526
47	207	8441
48	209	8353
49	211	8261
50	213	8177
51	216	8101
52	218	8030
53	220	7957
54	223	7894
55	225	7827
56	228	7774
57	230	7731
58	233	7678
59	235	7618
60	237	7554
61	239	7500
62	242	7469
63	245	7421
64	247	7378
65	250	7325
66	252	7272
67	254	7226
68	256	7182
69	258	7138
70	261	7098
71	263	7060
72	265	7013
73	268	6981
74	270	6943
75	273	6913
76	275	6873
77	277	6841
78	279	6802
79	281	6767
80	284	6729
81	286	6697
82	288	6664
83	290	6633
84	293	6603
85	295	6568
86	296	6530
87	298	6495
88	301	6465
89	303	6434
90	305	6409
91	307	6384
92	310	6360
93	313	6347
94	315	6323
95	317	6301
96	319	6276
97	322	6254
98	324	6231
99	326	6209
100	328	6182
101	330	6156
102	333	6140
103	335	6118
104	337	6090
105	339	6064
106	341	6036
107	342	6005
108	344	5979
109	346	5956
110	348	5931
111	350	5912
112	352	5887
113	354	5865
114	356	5838
115	357	5813
116	359	5790
117	361	5769
118	364	5754
119	366	5736
120	368	5718
121	370	5696
122	371	5669
123	373	5643
124	374	5622
125	376	5600
126	378	5580
127	380	5559
128	382	5544
129	384	5526
130	386	5510
131	388	5493
132	390	5476
133	392	5461
134	394	5445
135	395	5424
136	397	5410
137	399	5391
138	401	5376
139	403	5360
140	405	5344
141	407	5325
142	408	5308
143	410	5292
144	412	5280
145	414	5266
146	416	5252
147	418	5237
148	420	5222
149	422	5210
150	424	5195
151	426	5180
152	427	5164
153	430	5163
154	433	5154
155	434	5137
156	436	5121
157	437	5106
158	439	5089
159	441	5074
160	443	5062
161	445	5051
162	447	5037
163	448	5026
164	450	5013
165	452	5001
166	454	4987
167	456	4973
168	457	4961
169	459	4951
170	462	4944
171	464	4936
172	466	4925
173	468	4916
174	470	4907
175	472	4897
176	474	4886
177	476	4878
178	478	4870
179	480	4861
180	482	4851
181	484	4843
182	486	4832
183	488	4823
184	490	4815
185	492	4806
186	494	4797
187	496	4788
188	498	4779
189	500	4772
190	502	4762
191	504	4753
192	506	4742
193	508	4732
194	510	4725
195	512	4717
196	514	4707
197	516	4699
198	518	4691
199	520	4683
200	522	4675
201	524	4666
202	526	4658
203	528	4651
204	530	4643
205	532	4635
206	534	4627
207	536	4618
208	538	4612
209	540	4605
210	542	4595
211	543	4587
212	545	4579
213	547	4572
214	549	4565
215	551	4557
216	553	4549
217	555	4540
218	557	4531
219	558	4522
220	560	4513
221	562	4504
222	564	4494
223	565	4486
224	567	4479
225	569	4470
226	571	4462
227	573	4455
228	575	4449
229	577	4443
230	579	4438
231	581	4432
232	583	4428
233	586	4423
234	588	4416
235	590	4411
236	592	4405
237	594	4398
238	595	4390
239	597	4382
240	599	4376
241	601	4368
242	603	4361
243	605	4354
244	606	4348
245	608	4339
246	610	4332
247	612	4326
248	614	4321
249	616	4316
250	619	4314
251	621	4310
252	623	4304
253	625	4302
254	628	4299
255	630	4296
256	632	4291
257	634	4287
258	637	4283
259	639	4279
260	641	4274
261	643	4271
262	647	4274
263	649	4274
264	652	4269
265	654	4266
266	656	4261
267	658	4253
268	660	4247
269	661	4241
270	664	4236
271	665	4230
272	667	4224
273	669	4216
274	671	4210
275	672	4203
276	674	4197
277	676	4193
278	679	4189
279	681	4184
280	683	4179
281	684	4172
282	686	4167
283	688	4160
284	690	4155
285	692	4149
286	694	4144
287	696	4138
288	697	4131
289	699	4125
290	701	4119
291	703	4114
292	705	4108
293	707	4103
294	709	4100
295	711	4098
296	713	4093
297	715	4088
298	717	4083
299	719	4079
300	722	4075
301	724	4074
302	727	4072
303	729	4068
304	731	4064
305	733	4059
306	735	4057
307	737	4052
308	739	4048
309	742	4046
310	744	4045
311	746	4040
312	748	4035
313	750	4032
314	753	4030
315	756	4029
316	758	4026
317	760	4020
318	761	4015
319	763	4010
320	765	4004
321	767	4001
322	769	3995
323	771	3991
324	773	3986
325	775	3982
326	777	3976
327	778	3970
328	780	3966
329	782	3962
330	785	3959
331	787	3956
332	789	3952
333	791	3949
334	793	3944
335	795	3938
336	797	3933
337	799	3929
338	800	3924
339	802	3919
340	804	3914
341	806	3909
342	808	3904
343	809	3899
344	811	3894
345	813	3890
346	816	3887
347	818	3885
348	820	3881
349	822	3876
350	824	3872
351	826	3868
352	828	3863
353	829	3858
354	831	3854
355	833	3851
356	835	3845
357	837	3840
358	839	3835
359	841	3831
360	842	3827
361	845	3823
362	848	3826
363	850	3823
364	852	3819
365	854	3816
366	857	3814
367	859	3811
368	861	3808
369	863	3805
370	866	3803
371	868	3800
372	870	3795
373	871	3790
374	873	3785
375	875	3780
376	877	3778
377	879	3775
378	881	3771
379	883	3767
380	886	3766
381	888	3762
382	890	3758
383	892	3755
384	894	3751
385	896	3748
386	898	3745
387	900	3742
388	903	3741
389	905	3738
390	907	3736
391	910	3733
392	912	3731
393	914	3728
394	916	3725
395	918	3722
396	920	3718
397	922	3714
398	924	3710
399	927	3708
400	929	3706
401	931	3703
402	933	3699
403	935	3695
404	937	3694
405	939	3690
406	941	3686
407	943	3682
408	945	3678
409	947	3674
410	949	3670
411	951	3667
412	953	3664
413	955	3660
414	957	3655
415	958	3650
416	960	3646
417	962	3642
418	964	3638
419	966	3635
420	968	3631
421	970	3628
422	972	3624
423	974	3621
424	976	3617
425	977	3613
426	979	3608
427	981	3604
428	983	3600
429	985	3596
430	986	3593
431	988	3589
432	990	3584
433	992	3580
434	994	3578
435	996	3573
436	998	3569
437	999	3564
438	1001	3560
439	1003	3556
440	1004	3552
441	1006	3547
442	1008	3543
443	1010	3540
444	1012	3536
